name	url	imageSrc
sauce-vodka	https://www.instacart.com/store/items/item_1472492887	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cb4ce5f7-d040-4dfa-a14d-15a4ec7aebb7.png
syrup	https://www.instacart.com/store/items/item_1472491010	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_706b0ccf-23e3-45ac-84f7-c468d56282c4.jpg
tamari	https://www.instacart.com/store/items/item_1472466408	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fe00cf06-0eb2-4408-94b6-bdf70609d264.png
tomatoes	https://www.instacart.com/store/items/item_1472470744	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_739da885-60bf-4aae-b7b5-2020fe06b25f.png
tortilla-chips	https://www.instacart.com/store/items/item_1472487917	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5f7c3bf2-5010-4fe1-9961-f0a94627f69a.jpeg
tortillas	https://www.instacart.com/store/items/item_1472477124	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e37f4723-b439-4065-bad5-ae8994269402.png
vegetable-broth	https://www.instacart.com/store/items/item_1472495881	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_67b72d0d-5988-4fe2-93da-01f6141190d2.jpg
vegetable-broth	https://www.instacart.com/store/items/item_1472496716	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a9491715-8d0c-4d60-88d0-19c5c03d1ce4.jpg
vegetable-broth	https://www.instacart.com/store/items/item_1472501263	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0cf4c1a7-b36b-44c9-9520-f6471d60c211.jpg
vinegar-apple-cider	https://www.instacart.com/store/items/item_1472484807	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ae767957-36ce-4c4f-80cc-2e3fe139c845.jpg
vinegar-rice	https://www.instacart.com/store/items/item_1472522663	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0c4981fc-adc8-43bd-9b90-d19d44962cee.jpg
vinegar-white	https://www.instacart.com/store/items/item_1472477019	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_99bcc59b-fc74-41e3-8aa7-69e5f5db3118.jpeg
walnuts	https://www.instacart.com/store/items/item_1472474149	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3b821036-8a16-422a-8794-dc009bf7db95.jpg
